Database ID,WO Type,Date Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Total WO Input Weight,Total Finalized Weight,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Total Output Weight,Date Closed
3447,Oil - Decarboxylation,8/3/2018 14:59,784,Oil,Oil Hybrid Blend,11950.5,10513.5,784,Oil,Oil Hybrid Blend,10513.5,10513.5,8/3/2018 15:01
3470,Oil - Decarboxylation,8/8/2018 15:25,806,Oil,Oil Treasure Island (APH),6997,6129,806,Oil,Oil Treasure Island (APH),6129,6129,8/8/2018 15:27
3463,Oil - Decarboxylation,8/7/2018 16:40,804,Oil,Oil Treasure Island (APH),8495.5,7550.5,804,Oil,Oil Treasure Island (APH),7550.5,7550.5,8/7/2018 16:41
3482,Oil - Decarboxylation,8/9/2018 16:41,805,Oil,Oil Treasure Island (APH),6994.5,6221,805,Oil,Oil Treasure Island (APH),6221,6221,8/9/2018 16:43
3487,Oil - Decarboxylation,8/13/2018 16:16,467,Dried,Oil Northern Lights,8201.5,7028.5,467,Dried,Oil Northern Lights,7028.5,7028.5,8/13/2018 16:18
3501,Oil - Decarboxylation,8/16/2018 11:18,466,Dried,Oil Northern Lights,8227,7205,466,Dried,Oil Northern Lights,7205,7205,8/16/2018 11:19
3522,Oil - Decarboxylation,8/20/2018 14:03,815,Oil,Oil Treasure Island (APH),6962,6019.5,815,Oil,Oil Treasure Island (APH),6019.5,6019.5,8/20/2018 14:04
3532,Oil - Decarboxylation,8/21/2018 16:42,771,Oil,Oil Northern Lights,7443,6483,771,Oil,Oil Northern Lights,6483,6483,8/21/2018 16:43
3556,Oil - Decarboxylation,8/31/2018 16:45,773,Oil,Oil Northern Lights,11716.5,10227.5,773,Oil,Oil Northern Lights,10227.5,10227.5,8/31/2018 16:47
3547,Oil - Decarboxylation,8/29/2018 15:34,772,Oil,Oil Northern Lights,10163.5,8754,772,Oil,Oil Northern Lights,8754,8754,8/29/2018 15:38
3599,Oil - Decarboxylation,9/17/2018 14:56,473,Dried,Oil Nebula II,5619.5,4982,473,Dried,Oil Nebula II,4982,4982,9/17/2018 14:59
3603,Oil - Decarboxylation,9/18/2018 15:55,472,Dried,Oil Nebula II,12214,10767.5,472,Dried,Oil Nebula II,10767.5,10767.5,9/18/2018 15:59
3618,Oil - Decarboxylation,9/19/2018 15:03,476,Dried,Oil Sativa Blend,9886.5,8587,476,Dried,Oil Sativa Blend,8587,8587,9/19/2018 15:04
3649,Oil - Decarboxylation,9/27/2018 8:57,857,Oil,Oil Treasure Island (APH),20776.5,18241.5,857,Oil,Oil Treasure Island (APH),18241.5,18241.5,9/27/2018 8:58
3657,Oil - Decarboxylation,9/27/2018 16:32,858,Oil,Oil Treasure Island (APH),9218.5,8090.5,858,Oil,Oil Treasure Island (APH),8090.5,8090.5,9/27/2018 16:33
3659,Oil - Decarboxylation,9/28/2018 13:49,860,Oil,Oil Treasure Island (APH),9879.5,8605.5,860,Oil,Oil Treasure Island (APH),8605.5,8605.5,9/28/2018 13:50
3763,Oil - Decarboxylation,10/19/2018 9:24,891,Oil,Oil Black Widow,18977,16348,891,Oil,Oil Black Widow,16348,16348,10/19/2018 9:25
3768,Oil - Decarboxylation,10/22/2018 10:15,897,Dried,Oil Sour Kush,12049.5,10576,897,Dried,Oil Sour Kush,10576,10576,10/22/2018 10:16
3773,Oil - Decarboxylation,10/22/2018 15:01,899,Dried,Oil Sour Kush,12712,11404,899,Dried,Oil Sour Kush,11404,11404,10/22/2018 15:03
3782,Oil - Decarboxylation,10/24/2018 15:11,900,Dried,Oil Black Widow,17945,14467,900,Dried,Oil Black Widow,14467,14467,10/24/2018 15:12
3795,Oil - Decarboxylation,10/26/2018 16:17,903,Dried,Oil Northern Lights,12151,10875.5,903,Dried,Oil Northern Lights,10875.5,10875.5,10/26/2018 16:18
3803,Oil - Decarboxylation,10/30/2018 11:47,854,Oil,Oil Hybrid Blend,12831.5,11301.5,854,Oil,Oil Hybrid Blend,11301.5,11301.5,10/31/2018 11:51
3827,Oil - Decarboxylation,11/2/2018 15:24,911,Dried,Oil Black Widow,20624,16437.5,911,Dried,Oil Black Widow,16437.5,16437.5,11/2/2018 15:32
3828,Oil - Decarboxylation,11/2/2018 15:40,478,Dried,Oil Indica Blend,3997.5,3546.5,478,Dried,Oil Indica Blend,3546.5,3546.5,11/2/2018 15:43
3838,Oil - Decarboxylation,11/6/2018 13:30,920,Dried,Oil Black Widow,15421,15421,920,Dried,Oil Black Widow,15421,15421,11/6/2018 13:33
3870,Oil - Decarboxylation,11/13/2018 16:49,931,Dried,Oil Hybrid Blend,12012.5,12012.5,931,Dried,Oil Hybrid Blend,12012.5,12012.5,11/13/2018 16:50
3991,Oil - Decarboxylation,12/12/2018 16:00,981,Dried,Oil Nightingale (NN),12697,11349,981,Dried,Oil Nightingale (NN),11349,11349,12/12/2018 16:00
4008,Oil - Decarboxylation,12/14/2018 16:55,983,Dried,Oil Nightingale (NN),15567,14010.5,983,Dried,Oil Nightingale (NN),14010.5,14010.5,12/14/2018 16:56
3982,Oil - Decarboxylation,12/12/2018 8:39,974,Dried,Oil Hybrid Blend,11389,10078.5,974,Dried,Oil Hybrid Blend,10078.5,10078.5,12/12/2018 8:40
3997,Oil - Decarboxylation,12/13/2018 15:48,982,Dried,Oil Nightingale (NN),18468.5,10817.5,982,Dried,Oil Nightingale (NN),10817.5,10817.5,12/13/2018 15:52
4140,Oil - Decarboxylation,1/18/2019 16:51,1023,Dried,Oil Hybrid Blend,11852.1,10700,1023,Dried,Oil Hybrid Blend,10700,10700,1/18/2019 16:52
4025,Oil - Decarboxylation,12/19/2018 16:50,984,Dried,Oil Treasure Island (APH),12174,10763.5,984,Dried,Oil Treasure Island (APH),10763.5,10763.5,12/19/2018 16:51
4052,Oil - Decarboxylation,1/2/2019 12:56,994,Dried,Oil Treasure Island (APH),12814.5,11281.5,994,Dried,Oil Treasure Island (APH),11281.5,11281.5,1/2/2019 12:57
4090,Oil - Decarboxylation,1/11/2019 13:11,1008,Dried,Oil Nebula II,13701,12728.5,1008,Dried,Oil Nebula II,12728.5,12728.5,1/11/2019 13:12
4091,Oil - Decarboxylation,1/11/2019 13:39,1007,Dried,Oil Nebula II,14399.5,12728.5,1007,Dried,Oil Nebula II,12728.5,12728.5,1/11/2019 13:40
4104,Oil - Decarboxylation,1/15/2019 15:58,1014,Dried,Oil Sativa Blend,12683.5,11372,1014,Dried,Oil Sativa Blend,11372,11372,1/15/2019 15:58
4126,Oil - Decarboxylation,1/17/2019 16:14,1018,Dried,Oil Hybrid Blend,17806,15386.5,1018,Dried,Oil Hybrid Blend,15386.5,15386.5,1/18/2019 14:07
4098,Oil - Decarboxylation,1/14/2019 15:10,1008,Dried,Oil Nebula II,13701,12102,1008,Dried,Oil Nebula II,12102,12102,1/14/2019 15:11
4117,Oil - Decarboxylation,1/17/2019 11:04,1016,Dried,Oil Hybrid Blend,17708,15816.5,1016,Dried,Oil Hybrid Blend,15816.5,15816.5,1/17/2019 11:04
4135,Oil - Decarboxylation,1/18/2019 14:02,1019,Dried,Oil Hybrid Blend,17875.5,15985.5,1019,Dried,Oil Hybrid Blend,15985.5,15985.5,1/18/2019 14:03
4156,Oil - Decarboxylation,1/21/2019 15:22,1028,Dried,Oil Sour Kush,17830.5,15947,1028,Dried,Oil Sour Kush,15947,15947,1/21/2019 15:23
4160,Oil - Decarboxylation,1/22/2019 11:09,1029,Dried,Oil Sour Kush,11234.5,10068,1029,Dried,Oil Sour Kush,10068,10068,1/22/2019 11:10
4174,Oil - Decarboxylation,1/22/2019 16:43,1020,Dried,Oil High CBD,13926.5,12117,1020,Dried,Oil High CBD,12117,12117,1/22/2019 16:43
4180,Oil - Decarboxylation,1/23/2019 15:23,1021,Dried,Oil High CBD,14524.5,12673.5,1021,Dried,Oil High CBD,12673.5,12673.5,1/23/2019 15:24
4195,Oil - Decarboxylation,1/24/2019 15:47,1022,Dried,Oil High CBD,13904.5,12187.5,1022,Dried,Oil High CBD,12187.5,12187.5,1/24/2019 15:48
4197,Oil - Decarboxylation,1/25/2019 14:51,1032,Dried,Oil Black Widow,18362,16281,1032,Dried,Oil Black Widow,16281,16281,1/25/2019 14:52
4200,Oil - Decarboxylation,1/28/2019 15:37,1035,Dried,Oil Black Widow,18805,16122.5,1035,Dried,Oil Black Widow,16122.5,16122.5,1/28/2019 15:38
4233,Oil - Decarboxylation,2/4/2019 14:27,1057,Dried,Oil Hybrid Blend,13278,11377,1057,Dried,Oil Hybrid Blend,11377,11377,2/4/2019 14:28
4209,Oil - Decarboxylation,1/29/2019 15:30,1037,Dried,Oil Black Widow,10707,9479.5,1037,Dried,Oil Black Widow,9479.5,9479.5,1/29/2019 15:30
4214,Oil - Decarboxylation,1/30/2019 14:35,1043,Dried,Oil Hybrid Blend,11629,10301.5,1043,Dried,Oil Hybrid Blend,10301.5,10301.5,1/30/2019 14:35
168,Oil - Dilution,4/3/2017 21:07,Research Blend - 1 - Dec. 19 2016,Oil,R&D Oil Research Blends,121.5,2812,Research Blend-1-Diluted,Oil,R&D Oil Research Blends,2812,2812,4/3/2017 21:14
187,Oil - Dilution,4/13/2017 14:23,156(10),Dried,Black Widow-S-7-23 (Zen's Garden),940.16,932,156(10),Dried,Black Widow-S-7-23 (Zen's Garden),932,932,4/13/2017 14:24
211,Oil - Dilution,5/4/2017 17:54,197(1),Oil,Oil Black Widow,756,3763,197(1)-1,Oil,Oil Black Widow,3763,3763,5/4/2017 17:57
212,Oil - Dilution,5/4/2017 17:59,197(1),Oil,Oil Black Widow,748,3811,197(1)-2,Oil,Oil Black Widow,3811,3811,5/4/2017 18:00
213,Oil - Dilution,5/17/2017 15:46,197(1),Oil,Oil Black Widow,476.5,2813.5,197(1)-3,Oil,Oil Black Widow,2813.5,2813.5,5/17/2017 17:08
214,Oil - Dilution,5/18/2017 10:45,197(1),Oil,Oil Black Widow,752,4361,197(1)-4,Oil,Oil Black Widow,4361,4361,5/18/2017 11:57
243,Oil - Dilution,6/7/2017 12:37,125(1),Oil,R&D Oil Jesus OG,286,9640.5,JOG(M)-125(1)-Diluted,Oil,R&D Oil Jesus OG,9640.5,9640.5,6/7/2017 18:07
300,Oil - Dilution,7/26/2017 1:35,254(1),Oil,Oil Jesus OG,2098,15002,254(1)-1,Oil,Oil Jesus OG,15002,15002,
301,Oil - Dilution,7/26/2017 1:38,254(1),Oil,Oil Jesus OG,2095.5,15061,254(1)-2,Oil,Oil Jesus OG,15061,15061,7/26/2017 1:39
313,Oil - Dilution,7/31/2017 15:52,254(1),Oil,Oil Jesus OG,1963.5,14143.5,254(1)-3,Oil,Oil Jesus OG,14143.5,14143.5,7/31/2017 15:53
314,Oil - Dilution,7/31/2017 15:55,254(1),Oil,Oil Jesus OG,1968.5,14266.5,254(1)-4,Oil,Oil Jesus OG,14266.5,14266.5,7/31/2017 15:56
1022,Oil - Dilution,11/2/2017 20:41,383(1),Oil,Oil Alien Dawg (APH),4193,31445,383(1)-1,Oil,Oil Alien Dawg (APH),31445,31445,11/2/2017 21:12
1030,Oil - Dilution,11/6/2017 18:08,341(1),Oil,Oil Black Widow,4540,13666.5,341(1)-1,Oil,Oil Black Widow,13666.5,13666.5,11/6/2017 18:13
1031,Oil - Dilution,11/7/2017 15:17,340(1),Oil,Oil Black Widow,8408.5,34815,340(1)-1,Oil,Oil Black Widow,34815,34815,11/7/2017 16:37
1100,Oil - Dilution,11/16/2017 16:14,379(1),Oil,Oil Treasure Island (APH),5277,38310,379(1)-1,Oil,Oil Treasure Island (APH),38310,38310,11/16/2017 16:20
1115,Oil - Dilution,11/17/2017 12:53,380(1),Oil,Oil Treasure Island (APH),4439,30478,380(1)-1,Oil,Oil Treasure Island (APH),30478,30478,11/17/2017 12:57
1295,Oil - Dilution,11/27/2017 15:54,372(1),Oil,Oil Alien Dawg (APH),6409.5,35152,372(1)-1,Oil,Oil Alien Dawg (APH),35152,35152,11/27/2017 16:06
2192,Oil - Dilution,2/23/2018 16:20,125(1)-1,Oil,R&D Oil Jesus OG,2000,9992,125(1)-1,Oil,R&D Oil Jesus OG,9992,9992,2/23/2018 16:25
2397,Oil - Dilution,3/7/2018 14:51,125(1)-1,Oil,R&D Oil Jesus OG,26.5,0,,,,,0,3/7/2018 14:52
2593,Oil - Dilution,3/26/2018 15:44,441(2),Oil,Oil Treasure Island (APH),2085,16931.5,441(2)-1,Oil,Oil Treasure Island (APH),16931.5,16931.5,4/17/2018 9:33
2601,Oil - Dilution,3/28/2018 13:39,373(1),Oil,Oil Alien Dawg (APH),2587.5,16401.5,373(1)-1,Oil,Oil Alien Dawg (APH),16401.5,16401.5,3/28/2018 13:41
2604,Oil - Dilution,3/28/2018 15:49,345(1),Oil,Oil Jesus OG,2612.5,16336,346(1)-1,Oil,Oil Jesus OG,16336,16336,3/28/2018 15:50
2715,Oil - Dilution,4/18/2018 11:06,346(1),Oil,Oil Jesus OG,2615.5,0,,,,,0,4/18/2018 11:08
2711,Oil - Dilution,4/17/2018 9:34,441(2)-1,Oil,Oil Treasure Island (APH),16931.5,14974,441(2)-1,Oil,Oil Treasure Island (APH),14974,14974,4/17/2018 9:36
2724,Oil - Dilution,4/18/2018 17:42,338(1),Oil,Oil Black Widow,9888,41779.5,338(1)-1,Oil,Oil Black Widow,41779.5,41779.5,4/18/2018 17:44
2849,Oil - Dilution,5/1/2018 21:30,442(1),Oil,Oil Treasure Island (APH),7179,48074,442(1)-1,Oil,Oil Treasure Island (APH),48074,48074,5/1/2018 21:36
