,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
45,28/03/2018,TI,,442,1,120,1,5000,65,1,79,35.9,0.299,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
46,28/03/2018,TI,,442,2,120,2,5000,65,1,88,40,0.333,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
47,29/03/2018,TI,,442,5,120,1,5000,65,1,64.5,29.3,0.244,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
48,29/03/2018,TI,,442,6,120,2,5000,65,1,58.5,26.6,0.222,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
49,02/04/2018,AD,,614,1,150,1,5000,65,1,50,22.7,0.152,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
50,03/04/2018,AD,,614,5,60,1,5000,65,1,39.5,18,0.299,1,re-extract AD 614 #1,,,,-,-,-,,,-,,,,,,,,,,,,,,
51,26/04/2018,N2,,626,3,120,1,5000,65,1,42,19.1,0.159,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
52,27/04/2018,N2,,626,6,90,1,5000,65,1,50.5,23,0.255,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
53,01/05/2018,AH,,640,3,105,1,5000,65,1,533,242.3,2.307,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
54,01/05/2018,AH,,640,4,105,2,5000,65,1,88,40,0.381,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
55,01/05/2018,AH,,640,5,105,1,5000,65,1,22,10,0.095,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
56,03/05/2018,BW,,631,1,90,1,5000,65,1,61,27.7,0.308,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
57,03/05/2018,BW,,631,2,90,2,5000,65,1,56,25.5,0.283,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
58,07/05/2018,NL,,630,1,90,1,5000,65,1,58,26.4,0.293,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
