Database ID,WO Name,WO Type,Location,Date Opened,User Opened,Input Bulk Lot ID(s),Input Bulk Lot Type(s),Production,Input Weight per Bulk Lot,Input Volume per Bulk Lot,Total WO Input Weight,Total WO Input Volume,Finalized,Total Finalized Weight,Total Finalized Volume,Output Bulk Lot ID(s),Output Bulk Lot Type(s),Production,Output Weight per Bulk Lot,Output Volume per Bulk Lot,Total Output Weight,Total Output Volume,Variance Weight %,Variance Volume %,Date Closed,User Closed
4386,Decarb SK-1102-DC,Oil - Decarboxylation,,11/03/2019 14:04,Marie Boullion,1102,Dried,Oil Sour Kush,10145.5,0,10145.5,0,TRUE,8771.5,0,1102,Dried,Oil Sour Kush,8771.5,0,8771.5,0,13.54,N/A,11/03/2019 14:07,Marie Boullion
4385,Milling SK-1102-MC,Oil - Milling,,11/03/2019 14:03,Marie Boullion,1102,Dried,Oil Sour Kush,10177,0,10177,0,TRUE,10145.5,0,1102,Dried,Oil Sour Kush,10145.5,0,10145.5,0,0.31,N/A,11/03/2019 14:03,Marie Boullion
4384,A2 Transfer SK-1102-B,Oil - Transfer to Extraction Department,,11/03/2019 14:01,Marie Boullion,1102,Dried,Oil Sour Kush,10093.9,0,10093.9,0,TRUE,10177,0,1102,Dried,Oil Sour Kush,10177,0,10177,0,N/A,N/A,11/03/2019 14:02,Marie Boullion
4383,A1 Intake SK-1102,Allocate for Extraction,,11/03/2019 14:00,Marie Boullion,1079(3),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),10093.9,0,10093.9,0,TRUE,10093.9,0,1102,Dried,Oil Sour Kush,10093.9,0,10093.9,0,N/A,N/A,11/03/2019 14:00,Marie Boullion
4382,TTB,Process - Transfer to Bulk,,10/03/2019 14:34,Brandon Gibbs,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),228574.62,0,228574.62,0,TRUE,228574.62,0,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),228574.62,0,228574.62,0,N/A,N/A,10/03/2019 14:39,Brandon Gibbs
4381,TTC,Process - Transfer to Curing,Vault - Curing,10/03/2019 7:10,Brandon Gibbs,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),8784.8,0,8784.8,0,TRUE,8784.8,0,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),8784.8,0,8784.8,0,N/A,N/A,10/03/2019 7:11,Brandon Gibbs
4380,Day 1 and 2 Harvest,Process - Lot Merge,Drying,10/03/2019 7:05,Brandon Gibbs,1096(1),Fresh,DI Delahaze-S-32-31 (Larry OG),95244.1,0,95244.1,0,TRUE,95244.1,0,1096,Fresh,DI Delahaze-S-32-31 (Larry OG),95244.1,0,95244.1,0,N/A,N/A,10/03/2019 7:06,Brandon Gibbs
4379,TTB,Process - Transfer to Bulk,,09/03/2019 16:22,Heather Vanderpols,1068,Dried,DI Delahaze-S-32-28 (Delahaze),59256.3,0,59256.3,0,TRUE,59256.3,0,1068,Dried,DI Delahaze-S-32-28 (Delahaze),59256.3,0,59256.3,0,N/A,N/A,09/03/2019 16:22,Heather Vanderpols
4378,Partial lot merge for extraction,Process - Lot Merge,,08/03/2019 15:40,Heather Vanderpols,1079,Dried,DI Sour Kush-S-8-15 (Afternoon Delight),15073.8,0,15073.8,0,TRUE,15073.8,0,1079(3),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),15073.8,0,15073.8,0,N/A,N/A,08/03/2019 15:40,Heather Vanderpols
4377,TTO,Process - Lot Split,,08/03/2019 13:08,Heather Vanderpols,1079(1),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),5260.8,0,5260.8,0,TRUE,5260.8,0,1079(3),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),5260.8,0,5260.8,0,N/A,N/A,08/03/2019 13:09,Heather Vanderpols
4376,Correction for Work Order Entry Error,Inventory Adjust - Correct Entry Error,,08/03/2019 9:47,Shawn Clarke,1068(1),Dried,DI Delahaze-S-32-28 (Delahaze),2000,0,2000,0,TRUE,2000,0,1068,Dried,DI Delahaze-S-32-28 (Delahaze),2000,0,2000,0,N/A,N/A,08/03/2019 9:48,Shawn Clarke
4375,Partial Lot merge 1079(1) to 1079(2),Process - Lot Merge,,07/03/2019 16:15,Heather Vanderpols,1079(1),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),3671.7,0,3671.7,0,TRUE,3671.7,0,1079(2),Dried,DI Sour Kush-S-8-15 (Afternoon Delight),3671.7,0,3671.7,0,N/A,N/A,07/03/2019 16:16,Heather Vanderpols
4374,PreDilution - HB-1082-PD,Oil - PreDilution,,07/03/2019 15:47, Eric Heimpel,1082,Oil,Oil Hybrid Blend,1035,0,1035,0,TRUE,7183.5,7561.5,1082,Oil,Oil Hybrid Blend,7183.5,7561.5,7183.5,7561.5,N/A,N/A,07/03/2019 15:49, Eric Heimpel
